author,published_at,updated_at,like_count,text
@techhack2024,2024-02-23T19:38:19Z,2024-02-23T19:38:19Z,0,"Sundas, Will you embark on a lifetime of adventures with me as my partner in love, laughter, and everything in between, becoming my wife and sharing every joy and challenge that life may bring?"
@sunnyahmed5935,2024-02-23T18:26:22Z,2024-02-23T18:26:22Z,0,is data science job shrinking ?
@naniktriw3862,2024-02-23T17:53:07Z,2024-02-23T17:53:07Z,0,thank you!
@jubairlead,2024-02-23T17:23:06Z,2024-02-23T17:23:06Z,1,"hello , you gain a new regular viewer ."
@Muhammad.farooq6007,2024-02-23T16:48:49Z,2024-02-23T16:48:49Z,0,"you said data analyst and data scientists are two different things but the problem is mostly jobs of data science want Masters degree in data science, so for a graduate student of (CS) is it not worth that he do data analyst job till his Masters degree completion????"
@futureworldhealing,2024-02-23T16:40:19Z,2024-02-23T16:40:19Z,0,thanks for the tips!!!
@rfii1178,2024-02-23T15:58:33Z,2024-02-23T15:58:33Z,0,Can i start to learn first data science &amp; machine learning then go to the data analysis ?
@IMDABROWN,2024-02-23T15:26:11Z,2024-02-23T15:26:11Z,1,Nope got to this video cause I enjoy your content.
@teertha29,2024-02-23T15:23:09Z,2024-02-23T15:23:09Z,0,Thankyou for the valuable information!
@isalutfi,2024-02-23T15:21:29Z,2024-02-23T15:21:29Z,1,<b>Hi Sundas. Glad to see the notification. I enjoy the video and hopefully it will be helpful to me. Thank you for sharing about 10 learning mistakes that we data scientist must avoid. Keep great topic up! 💻🥪🍵</b>
@astatine0085,2024-02-23T15:20:09Z,2024-02-23T15:20:09Z,6,"yes, it&#39;s so easy to lose the skillsets.  which is why employers prefer employed folks."
@abdullahrizwan668,2024-02-23T15:10:55Z,2024-02-23T15:10:55Z,0,I&#39;m a python developer if today I kick start my career as python based backend engineer will I be able to navigate to data sciences and then ML or should I stay back and learn about data sciences and start my career as DS ?
@ArinAkaMazu,2024-02-23T15:09:32Z,2024-02-23T15:09:32Z,1,Thank you<br>I will remember this<br>i will fight for you
@kevdo6333,2024-02-23T15:07:36Z,2024-02-23T15:07:36Z,0,Hey
